,label,41_3.21,93_4.48,77_4.55,91_4.76,136_5.44,93_5.5,57_5.56,57_5.7,93_5.77,59_5.89,67_6.17,93_6.32,119_6.71,109_6.76,68_6.83,93_7.06,93_7.38,105_18.73,119_19.76,81_20.11,161_20.32,93_21.54,161_23.95,119_24.92
F04MC_2,F04,66967.89038,1696247.958,396626.0589,72703.32951,212367,532713.6163,2109629.28,31396.34181,57178.46156,663115.596,363296.2404,151453.2442,418485.7259,66423.86144,140876.5693,205944.7346,114023.1292,25132.94108,65266.4571,128200.8589,48460.56712,598089.3365,134953.962,80738.31446
F04MN_1,F04,109266.0919,1951722.874,489369.1095,50535.11632,251343.5444,609796.8982,2027337.799,37596.21043,190509.0402,624518.4918,292228.8565,23572.52872,232132.4307,45008.46444,117210.3251,187377.4029,136323.4789,13392.87493,57823.88394,101450.5434,57352.67131,529303.3312,131805.5187,66590.82428
F04MN_2,F04,156253.2045,1885037.098,436000.2422,47969.97083,270589.1301,613179.8163,2211667.936,43813.45164,211257.8119,659825.3364,289816.087,78373.49671,119056.7168,35133.33594,114288.5028,219628.1885,615742.0052,40748.04476,63422.52333,116134.1004,58439.83377,692555.6914,230208.1363,82223.79075
F04MU_1,F04,1891.68756,697379.7575,154272.5569,47742.68528,89373.86348,214414.5601,4099788.113,55953.01951,57762.13031,994853.3044,14963.19759,28838.42691,128356.2028,43876.91627,45866.72739,76933.725,1.012259968,7560.762728,29604.64738,77559.41947,22859.07939,370529.1995,92649.47566,27929.28161
F04MU_2,F04,1686.807371,826493.9286,184821.4692,60694.67351,109509.7121,270286.9811,3939384.027,59376.04686,82695.17833,979780.3045,31322.3104,39643.79937,211878.6628,59153.79083,53583.54615,111952.6075,10300.00832,9020.264582,26241.91459,73977.72009,22157.30125,335426.2196,87035.88508,30732.85761
F05AB_1,F05,72671.27111,1162390.436,270132.67,57880.87217,139546.8361,368568.62,3863749.272,20495.85298,144130.201,1039922.275,42834.3216,402610.5404,236424.7656,70767.65738,152938.6689,133340.6883,108924.0121,25334.85165,78292.3132,6762.730814,55022.17455,612392.4156,186962.1679,75467.37428
F05AB_2,F05,97032.02133,1884840.412,439028.0447,91120.97351,267980.2917,655548.7542,2157833.153,24613.3693,221256.0758,715074.0354,135529.3254,134116.7979,267738.0172,100702.6764,155402.4563,261434.6254,454350.3779,67183.80561,100668.6202,228756.8738,77138.18884,695250.6982,249698.4789,91971.16734
F05AC_1,F05,171557.0776,1870418.461,438237.7517,46281.31416,275652.5756,619351.5727,2268398.314,12807.12374,220958.2684,723763.1509,94868.24802,100907.8213,179047.7049,44772.01475,134012.7578,231113.4298,749746.863,60309.73103,97491.84823,168351.8759,66989.50739,928735.4528,285683.2806,88724.09272
F05AC_2,F05,131432.7884,1900716.39,349779.2002,42510.36069,260860.2156,562113.7252,2192383.637,23186.13074,185350.6929,832749.8378,83033.62353,67658.92633,199822.992,39780.76796,122361.6567,207196.1252,467783.976,33278.24223,73375.95616,136165.2411,55804.95392,599332.6403,194499.8429,65370.10081
F05AN_1,F05,83443.13218,2125098.964,533990.9562,56701.26749,338668.9051,764221.9736,1606814.887,26272.79388,55487.71439,508861.7865,214043.7222,182102.4896,272714.2739,87361.70426,149428.4224,313437.9422,731475.0347,44622.67726,78896.15362,169688.8282,51738.43474,748449.3015,200997.1302,88659.95445
